,Product_name,Price,Review
77,"zofia 20000 mAh Power Bank (18 W, Fast Charging, Power Delivery 2.0)  (Pink, Lithium-ion)",699.0,3.2
78,"Ambrane 20000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Green, Lithium Polymer)",1799.0,4.1
79,"Ambrane 20000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Blue, Lithium Polymer)",1799.0,4.1
80,"boAt 10000 mAh Power Bank (22.5 W, Quick Charge 3.0)  (Carbon Black, Lithium-ion)",1299.0,4.2
81,"SAMSUNG 10000 mAh Power Bank (25 W, Fast Charging)  (Beige, Lithium-ion)",1999.0,4.3
82,"MI-STS 20000 mAh Power Bank (15 W, Fast Charging)  (FX07 Dual USB Fast Charging 20000mAH Li-Ion Power Bank with LED Display Black, Lithium-ion)",699.0,3.9
83,"Ambrane 50000 mAh Power Bank (20 W, Power Delivery 3.0, Power Delivery 3.0)  (Black, Lithium Polymer)",4476.0,4.2
84,"Ambrane 50000 mAh Power Bank (20 W, Power Delivery 3.0, Quick Charge 3.0)  (Blue, Lithium Polymer)",4499.0,4.2
85,"ZEBRONICS 10000 mAh Power Bank (20 W, Fast Charging)  (Blue, Lithium Polymer)",999.0,4.1
86,"AJYE 20000 mAh Power Bank  (Black, Lithium-ion)",569.0,4.2
87,"AJYE 20000 mAh Power Bank  (Black, Lithium-ion)",569.0,5.0
88,"Callmate 10000 mAh Power Bank (23 W, Fast Charging, Power Delivery 3.0)  (Black, Lithium-ion)",1099.0,4.1
89,"Ambrane 20000 mAh Power Bank (10.5 W, Fast Charging)  (Green, Lithium Polymer)",1499.0,4.0
90,"Strongvolt 20000 mAh Power Bank (12 W)  (Black, Lithium-ion)",649.0,3.6
91,"AJYE 10000 mAh Power Bank  (Black, Lithium-ion)",569.0,3.7
92,"Ambrane 20000 mAh Power Bank (10.5 W, Fast Charging)  (Blue, Lithium Polymer)",1499.0,4.0
93,"conekt 10000 mAh Power Bank (20 W, Power Delivery 3.0)  (Blue, Lithium Polymer)",593.0,3.7
94,"conekt 10000 mAh Power Bank (20 W, Power Delivery 3.0)  (Black, Lithium Polymer)",599.0,3.7
95,"DG 50000 mAh Power Bank (18 W, Fast Charging)  (Black, Lithium Polymer)",1599.0,4.2
96,"Intex 10000 mAh Power Bank (12 W, Fast Charging)  (Coal Black, Lithium Polymer)",799.0,3.8
97,"AJYE 20000 mAh Power Bank  (Black, Lithium-ion)",569.0,3.5
98,"Ambrane 20000 mAh Power Bank (10.5 W, Fast Charging)  (Black, Lithium Polymer)",1499.0,4.0
99,"REDMI 20000 mAh Power Bank (18 W, Fast Charging)  (Black, Lithium Polymer)",2049.0,4.3
100,"AJYE 30000 mAh Power Bank  (Black, Lithium-ion)",569.0,1.7
101,"Gizmore 10000 mAh Power Bank  (Black, Lithium Polymer)",599.0,3.6
102,"REDMI 20000 mAh Power Bank (18 W, Fast Charging)  (White, Lithium Polymer)",2049.0,4.3
103,"Intex 10000 mAh Power Bank (12 W, Fast Charging)  (Navy Blue, Lithium Polymer)",799.0,3.8
104,"Flipkart SmartBuy 10000 mAh Power Bank (12 W, Fast Charging)  (Black, Lithium Polymer)",799.0,4.0
105,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Green, Lithium Polymer)",1179.0,4.1
106,"Intex 20000 mAh Power Bank (22 W, Fast Charging)  (Coal Black, Lithium Polymer)",1499.0,3.7
107,"ORENICS 20000 mAh Power Bank (18 W, Fast Charging, Power Delivery 2.0)  (Black, Lithium Polymer)",1299.0,4.0
108,"Syska 10000 mAh Power Bank (Fast Charging)  (Elegant Black, Lithium Polymer)",799.0,3.7
109,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Blue, Lithium Polymer)",999.0,4.1
110,"Foxin 20000 mAh Power Bank (12 W, Fast Charging)  (Blue, Lithium-ion)",1099.0,4.3
111,"Intex 20000 mAh Power Bank (12 W, Fast Charging)  (Navy Blue, Lithium Polymer)",1199.0,3.8
112,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Black, Lithium Polymer)",999.0,4.1
113,"Spigen 10000 mAh Wireless Power Bank (20 W, Fast Charging, Power Delivery 3.0, Quick Charge 3.0)  (Black, Lithium Polymer)",2499.0,4.0
114,"Mi 10000 mAh Wireless Power Bank  (Black, Lithium Polymer)",2499.0,4.2
115,"Intex 20000 mAh Power Bank (12 W, Fast Charging)  (Coal Black, Lithium Polymer)",1199.0,3.8
116,"Intex 10000 mAh Power Bank (22 W, Fast Charging, Quick Charge 3.0)  (Navy Blue, Lithium Polymer)",899.0,3.7
117,"zofia 20000 mAh Power Bank (18 W, Fast Charging, Power Delivery 2.0)  (Pink, Lithium-ion)",699.0,3.2
118,"FIGER 32500 mAh Power Bank  (White, Lithium-ion)",499.0,3.2
119,"Binori 20000 mAh Power Bank (Fast Charging)  (White, Lithium-ion)",490.0,3.4
120,"boAt 10000 mAh Power Bank (22.5 W, Quick Charge 3.0)  (Carbon Black, Lithium-ion)",1299.0,4.2
121,"SAMSUNG 10000 mAh Power Bank (25 W, Fast Charging)  (Beige, Lithium-ion)",1999.0,4.3
122,"Mi 3i 20000 mAh Power Bank (Fast Charging, 18W)  (Black, Lithium Polymer)",2149.0,4.3
123,"boAt 20000 mAh Power Bank (22.5 W, Quick Charge 3.0)  (Carbon Black, Lithium-ion)",1799.0,4.2
124,"boAt 10000 mAh Power Bank (22.5 W, Quick Charge 3.0)  (Steel Blue, Lithium-ion)",1299.0,4.2
125,"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)  (Black, Lithium Polymer)",899.0,4.1
126,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Blue, Lithium Polymer)",1299.0,4.3
127,"AJYE 20000 mAh Power Bank  (Black, Lithium-ion)",569.0,4.2
128,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Black, Lithium Polymer)",1299.0,4.3
129,"Mi 10000 mAh Power Bank (22.5 W, Fast Charging)  (Black, Lithium Polymer)",1699.0,4.3
130,"AJYE 20000 mAh Power Bank  (Black, Lithium-ion)",569.0,5.0
131,"Strongvolt 20000 mAh Power Bank (12 W)  (Black, Lithium-ion)",649.0,3.6
132,"Mi 30000 mAh Power Bank (18 W, Fast Charging, Power Delivery 3.0)  (Black, Lithium Polymer)",3499.0,4.3
133,"Spigen 10000 mAh Wireless Power Bank (20 W, Power Delivery 3.0)  (Black, Lithium Polymer)",1599.0,4.4
134,"Flipkart SmartBuy 20000 mAh Power Bank (22.5 W, Power Delivery 3.0, Quick Charge 3.0)  (Black, Lithium Polymer)",1299.0,4.0
135,"Ambrane 10000 mAh Wireless Power Bank  (Purple, Lithium Polymer)",2088.0,3.6
136,"AJYE 10000 mAh Power Bank  (Black, Lithium-ion)",569.0,3.7
137,"Intex 10000 mAh Power Bank (12 W, Fast Charging)  (Coal Black, Lithium Polymer)",799.0,3.8
138,"Syska 20000 mAh Power Bank (18 W, Fast Charging)  (Midnight Blue, Lithium Polymer)",1549.0,4.1
139,"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)  (Blue, Lithium Polymer)",899.0,4.1
140,"AJYE 20000 mAh Power Bank  (Black, Lithium-ion)",569.0,3.5
141,"AJYE 30000 mAh Power Bank  (Black, Lithium-ion)",569.0,1.7
142,"Ambrane 10000 mAh Wireless Power Bank  (Black, Lithium Polymer)",2289.0,3.6
143,"REDMI 10000 mAh Power Bank (10 W, Fast Charging)  (White, Lithium Polymer)",1199.0,4.2
144,"REDMI 10000 mAh Power Bank (10 W, Fast Charging)  (Black, Lithium Polymer)",1199.0,4.2
145,"Intex 10000 mAh Power Bank (22 W, Fast Charging, Quick Charge 3.0)  (Navy Blue, Lithium Polymer)",899.0,3.7
146,"Gizmore 10000 mAh Power Bank  (Black, Lithium Polymer)",599.0,3.6
147,"Intex 20000 mAh Power Bank (22 W, Fast Charging)  (Coal Black, Lithium Polymer)",1499.0,3.7
148,"Intex 10000 mAh Power Bank (22 W, Fast Charging)  (Coal Black, Lithium Polymer)",899.0,3.7
149,"AMYTEL 20000 mAh Power Bank (25 W, Fast Charging, Quick Charge 4.0)  (Black, Lithium Polymer)",899.0,3.9
150,"ORENICS 20000 mAh Power Bank (18 W, Fast Charging, Power Delivery 2.0)  (Black, Lithium Polymer)",1299.0,4.3
151,"Foxin 20000 mAh Power Bank (12 W, Fast Charging)  (Blue, Lithium-ion)",1099.0,3.8
152,"Intex 20000 mAh Power Bank (22 W, Fast Charging)  (Navy Blue, Lithium Polymer)",1499.0,3.7
153,"Ambrane 27000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Green, Lithium Polymer)",2399.0,4.2
154,"Ambrane 27000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Black, Lithium Polymer)",2499.0,4.2
155,"Callmate 10000 mAh Power Bank (15 W, Fast Charging)  (Black, Lithium Polymer)",1299.0,3.1
156,"Intex 20000 mAh Power Bank (12 W, Fast Charging)  (Navy Blue, Lithium Polymer)",1199.0,3.8
157,"zofia 20000 mAh Power Bank (18 W, Fast Charging, Power Delivery 2.0)  (Pink, Lithium-ion)",699.0,3.2
158,"Ambrane 20000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Green, Lithium Polymer)",1799.0,4.1
159,"Ambrane 20000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Blue, Lithium Polymer)",1799.0,4.1
160,"ORAIMO 20000 mAh Power Bank (12 w, Fast Charging)  (Blue, Lithium Polymer)",1099.0,4.1
161,"ORAIMO 20000 mAh Power Bank (12 w, Fast Charging)  (Black, Lithium Polymer)",1099.0,4.1
162,"ORAIMO 20000 mAh Power Bank (12 w, Fast Charging)  (White, Lithium Polymer)",1099.0,4.1
163,"Syska 10000 mAh Power Bank (Fast Charging)  (Elegant Black, Lithium Polymer)",799.0,3.7
164,"Intex 20000 mAh Power Bank (12 W, Fast Charging)  (Navy Blue, Lithium Polymer)",1199.0,3.8
165,"Ambrane 20000 mAh Power Bank (20 W, Power Delivery 3.0, Quick Charge 3.0)  (Blue, Lithium Polymer)",1999.0,4.2
166,"Mi 10000 mAh Wireless Power Bank  (Black, Lithium Polymer)",2499.0,4.2
167,"Ambrane 20000 mAh Power Bank (20 W, Power Delivery 3.0, Quick Charge 3.0)  (Black, Lithium Polymer)",1999.0,4.2
168,"Ambrane 20000 mAh Power Bank (20 W, Power Delivery 3.0, Quick Charge 3.0)  (Green, Lithium Polymer)",1999.0,4.2
169,"conekt 10000 mAh Power Bank (20 W, Power Delivery 3.0)  (Blue, Lithium Polymer)",593.0,3.7
170,"Binori 20000 mAh Power Bank (Fast Charging)  (White, Lithium-ion)",490.0,3.4
171,"Syska 20000 mAh Power Bank (18 W, Fast Charging)  (Pearl Black, Lithium Polymer)",1549.0,4.0
172,"Ambrane 27000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Green, Lithium Polymer)",2399.0,4.2
173,"Intex 20000 mAh Power Bank (12 W, Fast Charging)  (Coal Black, Lithium Polymer)",1199.0,3.8
174,"conekt 10000 mAh Power Bank (20 W, Power Delivery 3.0)  (Black, Lithium Polymer)",599.0,3.7
175,"APPLE MagSafe Battery Pack Wireless Power Bank Compatible withIphone 12, Iphone 12 Pro, Iphone 12 Pro Max, Iphone 12 Mini, Iphone 13, Iphone 13 mini, Iphone 13 Pro , Iphone 13 Pro Max  (White, Lithium-ion)",9999.0,3.9
176,"Ambrane 27000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Black, Lithium Polymer)",2499.0,4.2
177,"Ambrane 10000 mAh Wireless Power Bank  (Black, Lithium Polymer)",2289.0,3.6
178,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Blue, Lithium Polymer)",999.0,4.1
179,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Black, Lithium Polymer)",999.0,4.1
180,"Callmate 10000 mAh Power Bank (15 W, Fast Charging)  (Black, Lithium Polymer)",756.0,3.8
181,"Ambrane 27000 mAh Power Bank (18 W, Fast Charging)  (Black, Lithium Polymer)",2362.0,4.2
182,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Green, Lithium Polymer)",1179.0,4.1
183,"Binori 20000 mAh Power Bank  (Pink, White, Lithium-ion)",498.0,3.3
184,"ZEBRONICS 10000 mAh Power Bank (20 W, Fast Charging)  (Blue, Lithium Polymer)",999.0,4.1
185,"Callmate 2600 mAh Power Bank  (White, Lithium-ion)",379.0,3.4
186,"Ambrane 20000 mAh Power Bank (22.5 W, Fast Charging)  (Green, Lithium Polymer)",2669.0,4.2
187,"ZEBRONICS 10000 mAh Power Bank (20 W, Fast Charging)  (Black, Lithium Polymer)",999.0,4.8
188,"ORAIMO 10000 mAh Power Bank (12 W, Fast Charging)  (Black, Lithium Polymer)",799.0,4.0
189,"Syska 20000 mAh Power Bank (12 W, Fast Charging)  (Jet Black, Lithium Polymer)",1399.0,4.0
190,"Portronics 10000 mAh Power Bank (12 W, Fast Charging)  (White, Lithium Polymer)",699.0,4.1
191,"AMYTEL 15 mAh Power Bank  (Black, Blue, Lithium-ion)",949.0,3.7
192,"QUNICX 50000 mAh Power Bank  (White, Lithium-ion)",1274.0,3.4
